206.19281000	213.84492000	204.28055000	353
236.46820000	248.23174000	208.12508000	264
244.10880000	204.64174000	242.91916000	10
194.96512000	181.53214000	217.17300000	504
237.45789000	229.12158000	226.31010000	175
243.68887000	204.74397000	244.80144000	10
249.86392000	236.07654000	237.18848000	113
246.74104000	234.85091000	239.33319000	122
205.87421000	187.73534000	197.75140000	559
186.26506000	217.28369000	187.76091000	819
189.92171000	212.45001000	194.06804000	944
248.10193000	215.40073000	248.27271000	30
199.68953000	172.61969000	214.67479000	466
244.11369000	206.90660000	245.46426000	11
236.30608000	243.19234000	205.01424000	273
230.96286000	232.90717000	224.11232000	190
197.69475000	173.88496000	209.01967000	473
234.37027000	229.06932000	241.38399000	84
190.26437000	215.03017000	183.05678000	971
203.55977000	200.49225000	202.17044000	384
205.45464000	181.06490000	208.23898000	529
243.59598000	247.41190000	207.75975000	258
250.53819000	209.75172000	245.34290000	25
249.97162000	208.93747000	245.63855000	24
246.70337000	217.82791000	247.36427000	38
250.63855000	209.83501000	245.35945000	25
208.18178000	212.34650000	205.66388000	357
206.81752000	185.97290000	199.13284000	579
195.53059000	174.68478000	207.09933000	472
201.49521000	178.40590000	213.74799000	462
248.53444000	234.05563000	234.49881000	129
193.79755000	172.85396000	209.81783000	478
192.55869000	210.62134000	178.79303000	975
235.16626000	232.59389000	222.48167000	186
250.74506000	215.91898000	246.64780000	33
209.01035000	181.79634000	205.79247000	546
198.87436000	207.80499000	195.50221000	918
208.96384000	224.21443000	201.72134000	328
197.90140000	183.28941000	200.46487000	600
181.64619000	209.02817000	183.21974000	805
190.43988000	208.93971000	198.34743000	933
246.53221000	244.05238000	213.64865000	254
194.65701000	211.06917000	189.81151000	874
197.80634000	194.62144000	209.20706000	392
230.60503000	234.87761000	200.84090000	282
233.23485000	239.33807000	203.70766000	276
199.11357000	191.63107000	207.72232000	390
250.36261000	209.91866000	246.08151000	25
178.11855000	196.81889000	197.63618000	740
196.46567000	177.65131000	211.25150000	500
232.48050000	238.97241000	204.18259000	277
240.37051000	241.15532000	221.77824000	205
237.66502000	248.29970000	208.45055000	263
240.73415000	242.32124000	222.35616000	206
249.55766000	215.67870000	249.92589000	28
240.49393000	248.00397000	207.55960000	262
245.64963000	227.40424000	236.77438000	93
243.04678000	208.98416000	247.52106000	19
243.96921000	206.58070000	244.95476000	11
203.33644000	200.35995000	201.89380000	384
233.40482000	228.53549000	221.00217000	167
203.37175000	216.39571000	201.85867000	350
247.45796000	235.30020000	234.67978000	129
180.75206000	201.11331000	194.59772000	746
237.94273000	245.83546000	203.47797000	270
194.50606000	188.50919000	212.45982000	693
202.09364000	220.94415000	197.47679000	343
205.10695000	177.82355000	212.24541000	460
245.28224000	205.89067000	238.81265000	8
244.60507000	228.88823000	241.43980000	52
185.37990000	207.30258000	191.82362000	899
243.51062000	246.86261000	207.66080000	258
230.65346000	233.05565000	224.56734000	164
195.11137000	173.55383000	208.20898000	475
