 2.10000	120.70382690	110.81794739	106.43309784	121.36253357	112.16422272	106.37277222	           0	           2
 2.10000	121.31221008	113.06277466	106.37629700	120.30749512	114.17289734	106.46618652	          -1	           3
 2.10000	120.14570618	115.05815125	106.47194672	120.67442322	116.46183777	106.46683502	          -2	           4
 2.10000	120.79310608	117.30926514	106.18803406	120.92919922	118.49668121	105.28167725	          -3	           5
 2.10000	120.39060211	119.13269043	104.94206238	118.91574097	119.40532684	104.92295837	          -4	           6
 2.10000	118.11556244	119.76799011	105.11808014	116.93695068	120.47519684	105.71865082	          -5	           7
 2.10000	116.62765503	120.82359314	106.48865509	117.13474274	121.09272003	107.87443542	          -6	           8
 2.10000	116.93119812	121.02861023	108.74872589	115.90892792	120.54078674	109.73202515	          -7	           9
 2.10000	115.77081299	120.18826294	110.54837036	116.34175110	119.58188629	111.79577637	          -8	          10
 2.10000	116.52874756	119.34339142	112.64292908	116.75189209	119.20230865	114.11935425	          -9	          11
 2.10000	116.65618134	119.03809357	114.99871826	116.15878296	118.56580353	116.33255005	         -10	          12
 2.10000	115.71592712	118.73005676	117.09829712	114.92327881	119.68750000	117.93766785	         -11	          13
 2.10000	114.31482697	120.09268188	118.46203613	113.17477417	120.69023895	119.23190308	         -12	          14
 2.10000	112.39910889	120.58480835	119.67526245	111.27932739	119.71225739	120.15916443	         -13	          15
 2.10000	110.74467468	119.03556061	120.41491699	110.21304321	117.66268921	120.70098877	         -14	          16
 2.10000	109.92311859	116.81909180	120.81690216	109.43379974	115.40562439	120.92709351	         -15	          17
 2.10000	109.58997345	114.52169800	120.86540222	110.53620148	113.40982056	120.52177429	         -16	          18
 2.10000	111.01409912	112.64736938	120.52413177	111.54164886	111.31980896	120.98146057	         -17	          19
 2.10000	112.29329681	110.87658691	120.76126099	113.40497589	111.17811584	119.80044556	         -18	          20
 2.10000	114.15132141	111.52938843	119.44064331	115.31587219	112.46066284	119.27798462	         -19	          21
 2.10000	115.76382446	113.18691254	118.99198151	116.08496094	114.54983521	118.45415497	         -20	          22
 2.10000	115.80823517	115.15535736	117.84858704	114.67376709	115.54208374	116.94671631	         -21	          23
 2.10000	114.31115723	115.15267944	116.22088623	114.53862000	113.83221436	115.54665375	         -22	          24
 2.10000	114.77744293	112.98300934	115.36846924	115.66981506	111.78643036	115.51623535	         -23	          25
 2.10000	115.28600311	111.04225159	115.84618378	113.84182739	111.11161804	116.24558258	         -24	          26
 2.10000	113.04948425	110.99192047	116.65518951	111.91329193	111.01199341	117.63427734	         -25	          27
 2.10000	111.26219177	110.39550018	117.71147919	111.19854736	109.13458252	116.90155029	         -26	          28
 2.10000	110.63932800	108.51128387	116.57179260	109.17845154	108.18695068	116.46862793	         -27	          29
 2.10000	108.97885132	107.49745178	115.92575073	110.16007233	106.79516602	115.32450104	         -28	          30
 2.10000	110.46580505	106.49995422	114.53118896	110.39881134	106.76701355	113.05668640	         -29	          31
 2.10000	110.10041046	106.21752167	112.40939331	109.41622162	104.88328552	112.36828613	         -30	          32
 2.10000	109.24137878	104.23838806	112.97121429	109.46470642	104.02333069	114.43881226	         -31	           0
